# x_m,y_m,w_tr_right_m,w_tr_left_m
172.27,9.4635,6.1279,5.0999
171.58,8.7418,6.1383,5.121
170.89,8.0203,6.1473,5.144
170.2,7.2993,6.1542,5.1686
169.5,6.5787,6.1599,5.1947
168.81,5.8588,6.1639,5.2212
168.12,5.1396,6.1674,5.2463
167.43,4.4213,6.1711,5.272
166.73,3.704,6.1751,5.2974
166.04,2.9881,6.1802,5.324
165.34,2.2736,6.1856,5.3537
164.65,1.5608,6.1881,5.3865
163.95,0.85011,6.1882,5.4221
163.25,0.14173,6.1897,5.4583
162.55,-0.56393,6.1939,5.4953
161.85,-1.2664,6.1954,5.5347
161.14,-1.9653,6.1915,5.5748
160.43,-2.6599,6.1855,5.6163
159.72,-3.3497,6.1758,5.6631
159.01,-4.034,6.1583,5.7133
158.29,-4.7118,6.1358,5.7696
157.57,-5.3824,6.1051,5.8341
156.85,-6.0446,6.0663,5.9094
156.12,-6.6974,6.0215,5.9977
155.39,-7.3395,5.9665,6.0975
154.65,-7.9697,5.9018,6.2119
153.91,-8.5863,5.8322,6.3462
153.16,-9.1879,5.7624,6.4982
152.41,-9.7729,5.6955,6.6717
151.65,-10.339,5.62,6.8694
150.89,-10.885,5.526,7.0957
150.12,-11.409,5.4177,7.3497
149.34,-11.909,5.2954,7.6353
148.57,-12.382,5.1553,7.9437
147.79,-12.826,5.0024,8.2635
147,-13.24,4.8366,8.5903
146.21,-13.621,4.6639,8.9098
145.43,-13.967,4.4848,9.2209
144.64,-14.276,4.3101,9.5235
143.85,-14.547,4.1379,9.8188
143.07,-14.776,3.9823,10.098
142.29,-14.963,3.8465,10.38
141.52,-15.107,3.7285,10.669
140.76,-15.204,3.6174,10.981
140.01,-15.255,3.5141,11.309
139.27,-15.259,3.4129,11.651
138.55,-15.214,3.3104,11.98
137.84,-15.121,3.2053,12.312
137.16,-14.979,3.1035,12.633
136.5,-14.787,3.0084,12.938
135.86,-14.548,2.9321,13.19
135.26,-14.261,2.8646,13.361
134.68,-13.927,2.8002,13.432
134.14,-13.548,2.7355,13.399
133.63,-13.124,2.6687,13.258
133.16,-12.659,2.6033,13.031
132.73,-12.152,2.557,12.763
132.34,-11.608,2.5207,12.482
132,-11.028,2.5437,12.209
131.69,-10.414,2.5727,11.931
131.43,-9.7688,2.6239,11.64
131.22,-9.0952,2.7033,11.34
131.04,-8.3956,2.8007,11.052
130.92,-7.6725,2.948,10.791
130.84,-6.9286,3.1224,10.567
130.8,-6.1661,3.3686,10.373
130.81,-5.3875,3.6905,10.188
130.86,-4.5951,4.0283,10.016
130.95,-3.7909,4.3715,9.8371
131.08,-2.9768,4.7174,9.6555
131.25,-2.1548,5.0485,9.4735
131.46,-1.3265,5.3501,9.2857
131.7,-0.49318,5.6216,9.0973
131.97,0.34373,5.8655,8.9079
132.27,1.1832,6.0885,8.7078
132.61,2.0241,6.2903,8.5062
132.97,2.8659,6.4708,8.3073
133.35,3.7077,6.6309,8.1186
133.76,4.5492,6.7729,7.9435
134.19,5.3898,6.8957,7.7777
134.64,6.2293,6.9982,7.623
135.1,7.0675,7.0834,7.4817
135.58,7.9042,7.155,7.3501
136.08,8.7394,7.2138,7.2261
136.58,9.5732,7.2592,7.113
137.1,10.405,7.2934,7.0106
137.63,11.236,7.3179,6.9163
138.16,12.066,7.3335,6.8303
138.71,12.894,7.3394,6.7521
139.26,13.721,7.3355,6.6776
139.81,14.547,7.3207,6.603
140.37,15.372,7.2978,6.5289
140.93,16.196,7.2687,6.4592
141.5,17.019,7.2344,6.3945
142.07,17.842,7.1958,6.3347
142.64,18.664,7.1554,6.2796
143.21,19.485,7.1145,6.2285
143.78,20.306,7.0733,6.1773
144.36,21.126,7.0319,6.1254
144.94,21.946,6.9884,6.0772
145.51,22.765,6.9418,6.032
146.09,23.584,6.8918,5.9925
146.67,24.402,6.8398,5.9519
147.25,25.219,6.7875,5.9119
147.84,26.036,6.7348,5.8741
148.42,26.852,6.6812,5.8365
149,27.668,6.6279,5.7983
149.58,28.483,6.5744,5.7611
150.17,29.297,6.5209,5.7245
150.75,30.111,6.4675,5.6881
151.34,30.924,6.4168,5.6503
151.92,31.736,6.3664,5.612
152.51,32.547,6.3156,5.5744
153.09,33.358,6.269,5.5384
153.68,34.168,6.2267,5.5017
154.27,34.978,6.1917,5.4671
154.86,35.787,6.1654,5.4338
155.45,36.595,6.145,5.3995
156.04,37.403,6.1295,5.3657
156.63,38.21,6.1193,5.3323
157.22,39.017,6.1145,5.2996
157.81,39.823,6.1134,5.2681
158.4,40.63,6.1152,5.2374
158.99,41.436,6.1189,5.2084
159.58,42.242,6.1228,5.1802
160.17,43.048,6.1269,5.1532
160.77,43.854,6.1294,5.1268
161.36,44.661,6.1305,5.1003
161.95,45.467,6.1298,5.0764
162.54,46.274,6.1272,5.0518
163.13,47.081,6.122,5.0275
163.72,47.888,6.1134,5.0046
164.31,48.696,6.1012,4.9814
164.9,49.504,6.0843,4.9584
165.49,50.313,6.0618,4.9348
166.08,51.122,6.0351,4.9092
166.67,51.931,6.0056,4.8821
167.26,52.741,5.9728,4.8559
167.85,53.551,5.9352,4.831
168.43,54.362,5.8947,4.807
169.02,55.173,5.8511,4.7824
169.61,55.984,5.8066,4.7587
170.19,56.795,5.7639,4.7353
170.78,57.607,5.723,4.7126
171.36,58.418,5.6821,4.6904
171.94,59.23,5.6411,4.6682
172.53,60.042,5.6013,4.6455
173.11,60.854,5.5632,4.6217
173.69,61.666,5.5275,4.5964
174.28,62.478,5.4945,4.5712
174.86,63.291,5.4629,4.5451
175.44,64.103,5.4304,4.5191
176.02,64.915,5.3988,4.4929
176.6,65.727,5.3697,4.4658
177.18,66.54,5.3435,4.4391
177.77,67.352,5.3203,4.4132
178.35,68.164,5.3002,4.3878
178.93,68.976,5.2828,4.3637
179.51,69.789,5.2674,4.3403
180.09,70.601,5.2534,4.3188
180.67,71.414,5.2405,4.2993
181.25,72.226,5.2275,4.2826
181.84,73.039,5.2141,4.2679
182.42,73.851,5.2,4.2545
183,74.664,5.186,4.2414
183.58,75.477,5.1712,4.2289
184.17,76.29,5.1561,4.2163
184.75,77.104,5.1405,4.2031
185.33,77.917,5.1244,4.191
185.91,78.731,5.1094,4.1795
186.5,79.544,5.0945,4.167
187.08,80.358,5.0792,4.1551
187.66,81.172,5.0616,4.145
188.25,81.984,5.0479,4.131
188.83,82.797,5.0355,4.115
189.41,83.61,5.026,4.0973
189.99,84.425,5.0134,4.0841
190.58,85.241,5.0004,4.0724
191.17,86.057,4.9867,4.0645
191.75,86.874,4.9722,4.0573
192.34,87.69,4.9565,4.0501
192.93,88.506,4.9407,4.0399
193.51,89.321,4.9251,4.0219
194.1,90.137,4.9082,3.9998
194.69,90.952,4.8907,3.974
195.27,91.767,4.8727,3.945
